exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_amy,AMY,RPL37A,100.0,72.47,9,1508,0.0,315.0,3.4535723842654535,2.0,10.70354,18.71889
ps1_amy,AMY,RPL38,100.0,69.29,9,1510,0.0,311.0,3.1940584571154766,2.0,9.61335,19.145
ps1_amy,AMY,RPL4,100.0,81.14,7,1504,0.0,868.0,5.91742195367573,3.0,22.79742,29.83491
ps1_amy,AMY,RPL41,100.0,90.21,30,1489,0.0,143.0,3.0247026532479415,2.0,6.65214,12.2235
ps1_amy,AMY,RPL5,100.0,84.5,22,1534,0.0,184.0,2.952781494934047,2.0,6.57805,16.07477
ps1_amy,AMY,RPL6,100.0,87.75,18,1522,0.0,379.0,4.295380029806259,2.0,12.17672,16.8964
ps1_amy,AMY,RPL7,100.0,66.46,4,1482,0.0,640.0,5.698692152917505,3.0,19.91062,22.73103
ps1_amy,AMY,RPL7A,100.0,91.09,25,1513,0.0,541.0,3.965588846039751,2.0,13.40811,26.19689
ps1_amy,AMY,RPL8,100.0,83.89,20,1487,0.0,353.0,3.0542570951585977,2.0,9.28077,21.72847
ps1_amy,AMY,RPL9,100.0,63.48,8,1477,0.0,152.0,3.208806488991889,2.0,6.47904,12.54103
ps1_amy,AMY,RPLP0,100.0,90.67,37,1537,0.0,133.0,2.8490672696438666,2.0,4.93993,11.433
ps1_amy,AMY,RPLP1,100.0,44.26,3,1489,0.0,634.0,5.048192771084337,3.0,16.90166,27.80103
ps1_amy,AMY,RPLP2,100.0,87.48,17,1481,0.0,363.0,4.24754046334497,2.0,11.54785,19.66243
ps1_amy,AMY,RPS11,100.0,67.01,8,1485,0.0,292.0,3.4422046440418472,2.0,10.61602,16.97518
ps1_amy,AMY,RPS12,100.0,80.82,9,1458,0.0,291.0,3.7989670242352007,2.0,11.03108,14.59381
ps1_amy,AMY,RPS13,100.0,86.22,17,1478,0.0,240.0,3.230213749277874,2.0,8.9856,15.45519
ps1_amy,AMY,RPS14,100.0,78.21,12,1489,0.0,389.0,2.959928076033907,2.0,11.94127,21.5707
ps1_amy,AMY,RPS15,100.0,16.13,2,1460,0.0,563.0,5.053491220906492,3.0,19.12084,22.43661
ps1_amy,AMY,RPS16,100.0,88.88,20,1488,0.0,324.0,3.847037484885127,2.0,10.66343,18.88598
ps1_amy,AMY,RPS17,100.0,50.56,5,1519,0.0,437.0,3.6543275632490015,2.0,12.8504,21.2826
ps1_amy,AMY,RPS18,100.0,64.94,6,1503,0.0,425.0,4.1831119544592035,2.0,13.73842,21.4269
ps1_amy,AMY,RPS19,100.0,64.93,4,1469,0.0,785.0,4.657933042212518,3.0,19.40022,33.56534
ps1_amy,AMY,RPS19BP1,100.0,91.47,16,1504,0.0,438.0,6.207602339181286,3.0,15.71886,14.66801
ps1_amy,AMY,RPS2,100.0,87.89,33,1522,0.0,162.0,2.5793194147624527,1.0,5.14099,14.4782
ps1_amy,AMY,RPS21,100.0,89.74,33,1472,0.0,164.0,2.4664793255720596,1.0,4.94668,14.79754
ps1_amy,AMY,RPS24,100.0,66.97,7,1500,0.0,378.0,3.686562860438293,2.0,12.87058,19.54755
ps1_amy,AMY,RPS25,100.0,71.4,7,1518,0.0,472.0,4.436985850608753,2.0,14.23356,21.61528
ps1_amy,AMY,RPS26,100.0,95.4,98,1544,0.0,81.0,2.0790984783232846,1.0,2.29517,9.85423
ps1_amy,AMY,RPS27,100.0,65.43,5,1467,0.0,505.0,5.013406940063091,3.0,13.84889,23.31501
ps1_amy,AMY,RPS27A,100.0,77.17,9,1479,0.0,445.0,3.6597564988483056,2.0,13.01694,24.6175
ps1_amy,AMY,RPS28,100.0,85.9,11,1495,0.0,448.0,5.276843467011643,3.0,12.88768,20.82951
ps1_amy,AMY,RPS3,100.0,70.47,8,1504,0.0,352.0,4.002814522938362,2.0,11.03598,17.87971
ps1_amy,AMY,RPS3A,100.0,75.21,9,1495,0.0,386.0,3.6414868105515588,2.0,12.78063,20.3827
ps1_amy,AMY,RPS4X,100.0,79.05,5,1487,0.0,618.0,7.906290115532734,4.0,21.18938,18.502
ps1_amy,AMY,RPS5,100.0,74.52,10,1510,0.0,251.0,3.6321809201975563,2.0,9.73168,14.96313
ps1_amy,AMY,RPS6,100.0,75.62,9,1501,0.0,263.0,3.682356513817188,2.0,10.06894,16.07136
ps1_amy,AMY,RPS7,100.0,82.05,7,1485,0.0,621.0,6.229903536977492,3.0,22.72918,18.76487
ps1_amy,AMY,RPS8,100.0,72.55,9,1524,0.0,318.0,3.436653386454183,2.0,11.80789,18.34789
ps1_amy,AMY,RPS9,100.0,86.01,11,1459,0.0,560.0,5.178619153674833,3.0,15.17426,24.26484
ps1_amy,AMY,RPSA,100.0,75.4,9,1481,0.0,251.0,4.29155230253126,2.0,9.85781,13.37416
ps1_amy,AMY,RTL8C,100.0,89.25,33,1446,0.0,197.0,2.921862821512081,1.0,7.24342,13.02243
ps1_amy,AMY,RTN1,100.0,93.69,40,1455,0.0,442.0,3.386499727817093,1.0,10.83992,23.12451
ps1_amy,AMY,RTN3,100.0,93.09,66,1468,0.0,136.0,2.2331141661685594,1.0,4.21622,14.70504
ps1_amy,AMY,RTN4,100.0,92.84,58,1510,0.0,123.0,2.483346613545817,1.0,4.57708,10.7886
ps1_amy,AMY,RUNDC3A,100.0,78.8,10,1428,0.0,407.0,4.275099075297226,2.0,13.95056,17.50967
ps1_amy,AMY,S100A6,100.0,96.43,117,1484,0.0,133.0,2.0671509281678775,1.0,3.52187,18.76054
ps1_amy,AMY,S100B,100.0,95.79,89,1411,0.0,60.0,2.230973116243847,1.0,3.04716,7.79035
ps1_amy,AMY,SARAF,100.0,91.58,47,1502,0.0,217.0,2.530035335689046,1.0,5.82203,17.32461
ps1_amy,AMY,SAT1,100.0,95.98,92,1448,0.0,124.0,1.9017189835575485,1.0,2.76436,20.10164
ps1_amy,AMY,SBDS,100.0,91.45,37,1531,0.0,193.0,3.244164428837017,2.0,7.10196,11.23159
ps1_amy,AMY,SCD,100.0,94.04,87,1491,0.0,56.0,1.9127733920020706,1.0,2.02703,8.94724
ps1_amy,AMY,SCD5,100.0,94.09,66,1524,0.0,108.0,2.3555555555555556,1.0,4.19249,10.64567
ps1_amy,AMY,SELENOW,100.0,86.49,23,1450,0.0,166.0,2.8637069922308545,1.0,6.82075,12.01122
ps1_amy,AMY,SEPTIN3,100.0,90.12,48,1415,0.0,74.0,2.2222884386174018,1.0,3.22161,8.20232
ps1_amy,AMY,SEPTIN4,100.0,92.59,31,1383,0.0,323.0,3.1970412338684295,1.0,10.68107,20.66534
ps1_amy,AMY,SEPTIN5,100.0,82.11,12,1362,0.0,439.0,3.893296853625171,2.0,12.86195,19.58705
ps1_amy,AMY,SERINC1,100.0,92.83,71,1534,0.0,94.0,2.0613237741646397,1.0,2.93809,10.77839
ps1_amy,AMY,SH3BGRL3,100.0,92.06,66,1516,0.0,58.0,2.054268446235205,1.0,2.53298,8.0566
ps1_amy,AMY,SHISA4,100.0,91.5,27,1528,0.0,150.0,4.458642327438676,2.0,8.87118,7.42917
ps1_amy,AMY,SLC17A7,100.0,86.18,23,1427,0.0,177.0,3.195724046726912,1.0,7.33628,11.33495
ps1_amy,AMY,SLC1A2,100.0,78.27,9,1341,0.0,330.0,4.505720823798627,2.0,14.63681,14.61406
ps1_amy,AMY,SLC1A3,100.0,84.89,17,1441,0.0,216.0,3.565522831667117,2.0,8.97183,11.7537
ps1_amy,AMY,SLC22A17,100.0,92.88,62,1509,0.0,120.0,2.330930930930931,1.0,3.8205,13.31817
ps1_amy,AMY,SLC25A23,100.0,80.29,14,1498,0.0,251.0,3.569182389937107,2.0,8.91659,15.6698
ps1_amy,AMY,SLC25A5,100.0,90.95,36,1469,0.0,133.0,3.019230769230769,1.0,6.07758,9.5618
ps1_amy,AMY,SMIM29,100.0,93.16,57,1470,0.0,164.0,2.5049729541092307,1.0,4.87435,14.25446
ps1_amy,AMY,SNAP25,100.0,90.37,33,1418,0.0,244.0,3.0944986690328307,1.0,8.55661,16.02521
ps1_amy,AMY,SNCB,100.0,92.02,50,1396,0.0,98.0,2.5028725314183125,1.0,4.75882,10.28327
ps1_amy,AMY,SNCG,100.0,91.8,65,1467,0.0,42.0,2.028768699654776,1.0,2.02726,4.58962
ps1_amy,AMY,SNN,100.0,93.48,82,1521,0.0,60.0,1.9811900663880009,1.0,2.44874,8.50711
ps1_amy,AMY,SNRNP70,100.0,91.52,50,1439,0.0,108.0,2.3929859062602423,1.0,4.4789,10.84254
ps1_amy,AMY,SNTA1,100.0,87.96,32,1502,0.0,145.0,2.743479011919157,1.0,4.9304,12.05486
ps1_amy,AMY,SNX3,100.0,93.03,65,1496,0.0,119.0,2.257416974169742,1.0,4.23538,13.28667
ps1_amy,AMY,SOD1,100.0,90.13,41,1497,0.0,114.0,2.6068361955085866,1.0,4.94636,9.0167
ps1_amy,AMY,SPARC,100.0,92.49,45,1518,0.0,150.0,2.768946035456848,2.0,4.6282,12.34647
ps1_amy,AMY,SPARCL1,100.0,90.03,31,1447,0.0,150.0,2.970489604292421,1.0,6.72563,11.25388
ps1_amy,AMY,SPP1,100.0,98.6,265,1252,0.0,31.0,1.6361284759646475,1.0,1.45862,7.04666
ps1_amy,AMY,SPTBN1,100.0,94.7,67,1486,0.0,105.0,2.6331058020477816,1.0,4.33834,8.83755
ps1_amy,AMY,SRP14,100.0,93.31,69,1511,0.0,102.0,2.0375465749498423,1.0,3.08883,13.52455
ps1_amy,AMY,SRP9,100.0,86.3,22,1538,0.0,262.0,3.2161812297734627,2.0,7.89488,17.39817
ps1_amy,AMY,SST,100.0,96.17,103,1494,0.0,84.0,2.104789402173913,1.0,2.88657,10.60009
ps1_amy,AMY,ST13,100.0,92.49,29,1535,0.0,264.0,4.449162679425838,2.0,11.25489,12.59262
ps1_amy,AMY,ST6GALNAC6,100.0,86.21,14,1388,0.0,520.0,4.565882792086599,2.0,13.85552,22.12677
ps1_amy,AMY,STMN1,100.0,91.41,45,1476,0.0,129.0,2.6953015427769986,1.0,5.06871,11.65223
ps1_amy,AMY,STMN2,100.0,89.41,32,1461,0.0,307.0,2.7381289149323096,1.0,6.99035,21.58761
ps1_amy,AMY,STMN3,100.0,91.35,35,1472,0.0,267.0,3.250504597443373,1.0,8.55277,16.90652
ps1_amy,AMY,SYN1,100.0,93.77,51,1450,0.0,294.0,2.840095465393795,1.0,7.18142,20.70384
ps1_amy,AMY,SYP,100.0,93.65,50,1479,0.0,172.0,2.8095440988495954,1.0,6.58036,14.3829
ps1_amy,AMY,SYT11,100.0,94.33,103,1539,0.0,54.0,1.8230709275136399,1.0,1.96874,8.96948
ps1_amy,AMY,TAGLN3,100.0,87.89,23,1442,0.0,153.0,3.8073188946975356,2.0,7.97492,9.24013
ps1_amy,AMY,TECR,100.0,89.4,36,1522,0.0,84.0,2.739235273854633,2.0,3.79157,7.28909
ps1_amy,AMY,TLE5,100.0,90.2,30,1417,0.0,230.0,3.1509479241660667,1.0,8.43678,14.5678
ps1_amy,AMY,TMA7,100.0,90.35,35,1510,0.0,119.0,2.599764798118385,1.0,5.04753,12.08263
ps1_amy,AMY,TMBIM6,100.0,88.51,23,1397,0.0,155.0,3.3920931492011914,1.0,7.4461,8.40622
ps1_amy,AMY,TMEM59L,100.0,93.07,63,1481,0.0,91.0,2.2564578499613304,1.0,3.84946,9.75105
ps1_amy,AMY,TMSB10,100.0,89.45,35,1489,0.0,121.0,2.676727272727273,1.0,5.26445,11.35503
ps1_amy,AMY,TMSB4X,100.0,92.09,52,1479,0.0,100.0,2.3434725419269977,1.0,3.94502,11.59361
ps1_amy,AMY,TOMM6,100.0,90.74,52,1507,0.0,66.0,2.170089593383873,1.0,2.97956,7.75089
ps1_amy,AMY,TOMM7,100.0,73.93,8,1504,0.0,400.0,4.202741472744661,2.0,11.90558,20.16753
ps1_amy,AMY,TP53INP2,100.0,94.05,49,1385,0.0,162.0,2.8102551399554123,2.0,4.9487,13.94229
ps1_amy,AMY,TPI1,100.0,87.53,31,1480,0.0,125.0,2.6368246196887566,1.0,5.01947,9.48632
ps1_amy,AMY,TPPP,100.0,94.6,56,1520,0.0,290.0,3.262345007613661,2.0,8.34705,20.12518
ps1_amy,AMY,TPT1,100.0,91.31,37,1508,0.0,133.0,2.9047029702970297,2.0,5.27604,10.82508
ps1_amy,AMY,TRIR,100.0,91.33,44,1491,0.0,205.0,2.7217238346525945,1.0,5.55987,14.6429
ps1_amy,AMY,TRMT112,100.0,90.91,45,1529,0.0,88.0,2.5115089514066495,1.0,4.14598,9.73884
ps1_amy,AMY,TSC22D4,100.0,93.01,59,1503,0.0,168.0,2.190737453606584,1.0,4.27791,19.68286
ps1_amy,AMY,TSPAN7,100.0,92.95,69,1520,0.0,196.0,2.180392156862745,1.0,3.70252,23.61612
ps1_amy,AMY,TSPYL2,100.0,93.31,75,1523,0.0,46.0,1.921486521852918,1.0,2.27565,7.58279
ps1_amy,AMY,TTC9B,100.0,89.2,26,1398,0.0,162.0,3.139327559857361,2.0,6.58911,11.78297
ps1_amy,AMY,TTYH1,100.0,87.81,27,1473,0.0,156.0,3.1162886597938146,2.0,5.66968,10.72789
ps1_amy,AMY,TUBA1A,100.0,94.05,77,1496,0.0,48.0,2.0566340680192674,1.0,2.38512,6.79004
ps1_amy,AMY,TUBA1B,100.0,89.77,31,1505,0.0,179.0,2.951832460732984,2.0,6.20138,14.50759
ps1_amy,AMY,TUBB,100.0,91.5,49,1487,0.0,129.0,2.5731116849580373,1.0,4.13092,10.67336
