uid,target,sources,n_sources,note
cefbe829542e,BHLHA15,ASCC1;ATF6;BCL6;BHLHA15;CEBPD;CREB3L1;EGR1;ELF3;EPAS1;FOS;FOSB;FOSL2;HEYL;HIF3A;ID1;JUNB;KDM5D;KLF10;KLF13;KLF15;KLF6;KLF9;MYC;MYCL;NFIC;NR4A1;NR4A2;POU5F1;RFC2;RORC;SOX4;STAT3;TAGLN2;TEAD4;UBB;XBP1;ZBTB16;ZNF189;ZNF710;ZNF85,40,exp-coregnet_pan-tool-coregnet
d1a2fde1d9ed,BTF3,APEX1;ASCC1;AVEN;BCL3;BCL6;CEBPD;CERS2;CHURC1;EDN1;ELF3;ENO1;EPAS1;FOSL2;GLIS2;GTF2F1;HMGB3;HNRNPA1;ID2;IRF1;JUNB;MBD2;NAP1L1;NFE2L2;NFKB2;NONO;NR4A1;RAN;RELA;RELB;RFC2;RPL6;SNAI2;SOX4;SRP9;SSRP1;STAT1;STAT3;STAT5A;TAGLN2;TEAD4;UBB;UTP18;YWHAZ;ZBTB4;ZNF524;ZNF581,46,exp-coregnet_pan-tool-coregnet
7ec5f5654e68,BTG2,ASCC1;ATF3;BCL3;BCL6;BHLHA15;BHLHE40;CEBPD;CREB3L1;ELF3;ETS2;FOS;FOSL2;JUNB;KDM5D;KLF6;MAFF;MYC;MYCL;NFIL3;NR4A2;STAT3;UBB;ZNF710,23,exp-coregnet_pan-tool-coregnet
09bd02ee390b,CALR,ANXA1;APEX1;CANX;CEBPD;CERS2;CYCS;DAB2;ELF3;ENO1;EZR;FOSB;GAR1;GTF2B;HCLS1;HIF1A;HNRNPC;HSPA5;ILF2;IRF1;IRF9;JUNB;KDM5D;MAFB;MSC;MYCL;NFE2L2;NFIL3;NFKB1;NME1;NMI;NR1D1;NR4A1;PARP1;PKM;PSMC2;RAB7A;RAN;RBPJL;RELA;RUVBL1;SPI1;STAT3;TAGLN2;TRIB2;TRIM21;TRIM69;UBB;YWHAZ;ZDHHC5;ZMAT2,50,exp-coregnet_pan-tool-coregnet
88b28a8609a6,CD24,ASCC1;ATF6;BCL3;BCL6;CEBPD;CREB3L1;ELF3;EPAS1;ETS2;FOSB;FOSL2;IRF1;JUNB;MBNL2;NFIL3;NR4A1;RELB;STAT3;TAGLN2;TEAD4;TRIB2;UBB,22,exp-coregnet_pan-tool-coregnet
be9834f5f902,CEL,ABL1;AHDC1;AHR;ANXA1;ANXA11;ARID5A;ARNT2;ASCC1;ATF3;ATF6;AVEN;BCL3;BCL6;BHLHA15;BHLHE40;CD59;CEBPB;CEBPD;CERS2;CIC;CPSF4;CREB3L1;CRTC2;DNTTIP1;DUSP22;EBF4;EDN1;EEF1D;EGR1;EHF;ELF1;ELF3;ELK3;ENO1;EPAS1;ERF;ESRP2;ESRRA;ETS1;ETS2;ETV4;EZR;FOSL2;FOXK2;GADD45A;GLIS2;GOT1;GTPBP1;HCFC1;HCLS1;HES1;HES6;HEYL;HHEX;HIF1A;HMGA1;HMGB2;HMGB3;HNRNPA1;ID1;ID2;IRF1;IRF6;IRF7;IRF9;JUNB;JUND;KDM2A;KDM5D;KLF10;KLF16;KLF3;KLF4;KLF5;KLF6;KMT2B;LRRFIP1;MAFF;MAFG;MAFK;MBNL2;MLX;MSC;MYC;MYRF;NFE2L2;NFIC;NFIL3;NFKB2;NME1;NMI;NR1H3;NUCB1;ODC1;PDCD11;PHLDA2;PKM;PLAGL1;POU5F1;POU6F1;PQBP1;PRDX5;PRNP;PROX1;PUM3;RAN;RARA;RARG;RBM7;RBMS1;RELA;RELB;RFC2;RFX5;RORC;RPL35;RPL6;RUFY3;SMARCA1;SNAI1;SNAI2;SND1;SOX4;SP1;SPI1;SREBF2;SRF;SRP9;STAT1;STAT3;STAT5A;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TGIF1;TOB2;TRAF4;TRIB1;TRIB2;TRIB3;TRIM21;TRIM28;TRIM69;TRIP10;TRMT1;UBXN1;VEZF1;XBP1;XRCC1;YWHAZ;ZBTB16;ZBTB42;ZNF143;ZNF146;ZNF189;ZNF217;ZNF266;ZNF274;ZNF354B;ZNF524;ZNF581;ZNF598;ZNF600;ZNF710;ZNF787,168,exp-coregnet_pan-tool-coregnet
b88d4a859041,CELA2A,AHR;ANXA1;ARID5A;ATF3;BCL3;BCL6;BHLHE40;CEBPD;CERS2;DAB2;EDN1;EGR1;ELF3;ENO1;ETS2;FOSL2;GLIS2;HIF1A;ID1;IRF1;IRF7;IRF9;JUNB;MAFF;MSC;NFE2L2;NFIL3;NFKB2;PROX1;RELB;SPI1;STAT3;TAGLN2;TRIB2;TRIP10;ZNF189;ZNF217,37,exp-coregnet_pan-tool-coregnet
1905bcc1713c,CELA2B,ARID5A;ATF3;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;EDN1;ELF3;ENO1;ETS2;FOSL2;GLIS2;HCLS1;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF6;MAFF;MSC;MYC;NFIL3;NFKB2;PHLDA2;RELB;SPI1;STAT3;TAGLN2;TEAD4;TRAF4;TRIB2;TRIM69,34,exp-coregnet_pan-tool-coregnet
ae023341cae2,CELA3A,AHR;ANXA1;ANXA11;ARID5A;ATF3;BCL3;BCL6;BHLHE40;CD59;CEBPB;CEBPD;CERS2;CIC;CREB3L1;CYCS;DAB2;EDN1;EGR1;ELF3;ELK3;ENO1;EPAS1;ETS2;ETV4;FOS;FOSL2;GAR1;GLIS2;HCLS1;HIF1A;HMGB3;HNRNPA1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF5;KLF6;MAF;MAFB;MAFF;MAFG;MBNL2;MSC;MYC;NFE2L2;NFIL3;NFKB1;NFKB2;NMI;PHLDA2;PKM;PML;PRNP;PUM3;RAN;RARA;RBM7;RBMS1;RELB;RFX5;RUFY3;SMARCA1;SNAI1;SNAI2;SOX18;SOX4;SPI1;SRF;STAT1;STAT3;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TFF3;TRAF4;TRIB2;TRIB3;TRIM21;TRIM69;TRIP10;YWHAZ;ZNF189;ZNF217;ZNF385A;ZNF436;ZNF513,93,exp-coregnet_pan-tool-coregnet
a8309cf4e8c7,CELA3B,AHR;ANXA1;ANXA11;ARID5A;ATF3;BCL3;BCL6;BHLHE40;CD59;CEBPD;CIC;CREB3L1;CTNNB1;DAB2;EDN1;ELF3;ENO1;EPAS1;ETS2;ETV4;FOS;FOSL2;FOXQ1;GAR1;GLIS2;HCLS1;HIF1A;HMGB3;HP1BP3;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF5;LRRFIP1;MAFF;MAFG;MSC;MYC;MYRF;NFE2L2;NFIL3;NFKB2;NMI;NUCB1;PKM;PRNP;PROX1;PUM3;RAN;RARA;RBM7;RBMS1;RELA;RELB;RFX5;RUFY3;SMARCA1;SNAI1;SOX4;SPI1;SREBF1;STAT1;STAT3;STAT6;TAGLN2;TEAD2;TEAD3;TRAF4;TRIB2;TRIB3;TRIM21;TRIM69;TRIP10;YWHAZ;ZNF189;ZNF217;ZNF385A;ZNF513,81,exp-coregnet_pan-tool-coregnet
f7bdd2302904,CLPS,AHR;ARID5A;ATF3;BCL3;BCL6;BHLHE40;CEBPD;CERS2;CREB3L1;EDN1;ELF3;ENO1;ETS2;FOSL2;GLIS2;HCLS1;HIF1A;HNRNPA1;IRF1;IRF7;IRF9;JUNB;KLF16;MSC;MYC;NFE2L2;NFIL3;NFKB2;NMI;PHLDA2;PKM;PUM3;RAN;RELA;RELB;SPI1;STAT1;STAT3;TAGLN2;TRAF4;TRIB2;ZBTB16;ZNF189,43,exp-coregnet_pan-tool-coregnet
802084d32be7,CLU,AHR;ANXA1;ARNT2;BCL6;CD59;CDK2AP1;CEBPD;CERS2;CTNNB1;DAB2;EDN1;ELF3;ELK3;ENO1;ETS2;ETV5;EZR;GADD45A;HCLS1;HIF1A;HMGB2;HNF1B;ID1;ID2;IRF1;JAZF1;KDM5D;KLF5;KLF7;MAFB;MSC;NFE2L1;NFIX;NFKB1;NMI;PKM;PRNP;RAD21;RARG;RB1;RBBP9;RBMS1;RELB;RFX5;SMARCA1;SNAI2;SOX4;SOX9;SP100;SPI1;STAT5A;STAT6;TEAD1;THAP11;TOB2;TRIB2;UBB;VAMP3;VEZF1;ZMAT2;ZNF436,61,exp-coregnet_pan-tool-coregnet
343b3b2c1d83,CPA1,AHR;ANXA1;ANXA11;APEX1;ARID5A;ASCC1;ATF3;BAX;BCL3;BCL6;BHLHE40;CD59;CEBPB;CEBPD;CERS2;CFL2;CIC;CREB3L1;CTNNB1;CYCS;DAB2;DUSP22;EBF4;EDN1;ELF1;ELF3;ELK3;ENO1;EPAS1;ERF;ETS1;ETS2;ETV4;EZR;FOSL2;FOXQ1;GADD45A;GAR1;GLIS2;HCLS1;HES1;HIF1A;HLX;HMGA1;HMGB3;HNRNPA1;HTATIP2;ID1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF5;LRRFIP1;MAFB;MAFF;MAFG;MLXIP;MSC;MYC;MYRF;NFE2L2;NFIL3;NFKB1;NFKB2;NME1;NMI;ODC1;PHLDA2;PKM;PRNP;PUM3;RAN;RARA;RBM3;RBM42;RBM7;RBMS1;RELA;RELB;RFC2;RFX5;RORC;RUFY3;RUVBL1;SCAND1;SMARCA1;SMARCC1;SNAI1;SNAI2;SOX18;SOX4;SP100;SPI1;SREBF1;SRF;STAT1;STAT3;STAT5A;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TRAF4;TRIB2;TRIB3;TRIM21;TRIM69;TRIP10;TRMT1;UBB;XBP1;YWHAZ;ZBTB47;ZBTB7B;ZEB1;ZNF189;ZNF217;ZNF385A;ZNF436;ZNF787;ZNF823,127,exp-coregnet_pan-tool-coregnet
629f3f499e9f,CPA2,AHR;ARID5A;ASCC1;ATF3;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;CIC;CREB3L1;DUSP22;EBF4;EDN1;ELF3;ENO1;EPAS1;ETS2;ETV4;FOS;FOSL2;FOXQ1;GLIS2;HES1;HES6;HIF1A;HMGB2;HMGB3;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF5;MAFF;MBNL2;MLXIP;MSC;MYC;NFE2L2;NFIL3;NFKB2;NME1;NMI;ODC1;PHLDA2;PKM;PTF1A;PUM3;RAN;RARA;RELA;RELB;RFC2;RUFY3;SRF;STAT3;TAGLN2;TEAD2;TEAD3;TEAD4;TRAF4;TRIB1;TRIB2;TRIB3;TRIM69;TRIP10;YWHAZ;ZBTB16;ZNF598;ZNF710;ZXDC,73,exp-coregnet_pan-tool-coregnet
